Regiao,CO,CO,CO,CO,CO,N,N,N,N,N,N,N,NE,NE,NE,NE,NE,NE,NE,NE,S,S,S,SE,SE,SE,SE
UF_sigla,DF,GO,MS,MT,TO,AC,AM,AP,MA,PA,RO,RR,AL,BA,CE,PB,PE,PI,RN,SE,PR,RS,SC,ES,MG,RJ,SP
Cultura,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abacate,0.77,0.21,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.04,0.0,0.0,0.65,1.75,7.56,0.44,0.27,0.0,0.27,0.0,7.57,1.82,0.02,5.07,31.18,0.22,41.55
Abacaxi*,0.01,2.89,0.37,2.18,7.49,0.82,3.67,1.97,1.72,21.78,1.23,0.65,5.46,3.99,0.03,13.76,2.02,0.0,4.02,1.29,0.72,0.9,0.02,3.51,8.33,7.12,4.05
Algodão herbáceo (em c...,0.0,2.45,1.68,70.32,0.11,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.08,20.12,0.19,0.11,0.01,0.69,0.02,0.0,0.01,0.0,0.0,0.0,1.91,0.0,0.42
Alho,2.06,24.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68,0.0,0.02,0.0,0.0,0.02,0.0,2.1,20.46,12.93,1.06,33.42,0.0,0.18
Amendoim (em casca),0.0,0.0,1.22,0.31,0.01,0.04,0.0,0.0,0.07,0.04,0.06,0.0,1.06,1.95,0.23,0.24,0.02,0.02,0.0,0.4,0.76,1.66,0.0,0.0,2.8,0.0,89.08
Arroz (em casca),0.0,0.97,0.39,4.64,4.74,0.14,0.02,0.03,3.66,1.69,1.52,0.46,0.13,0.02,0.21,0.07,0.03,2.11,0.03,0.23,0.8,71.97,5.6,0.0,0.1,0.01,0.41
Aveia (em grão),0.0,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.62,81.86,2.69,0.0,0.39,0.0,1.23
Azeitona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.02,0.0,0.0,20.98,0.0,9.85
Açaí,0.0,0.0,0.0,0.0,0.1,0.04,2.73,0.0,0.39,95.6,0.11,0.15,0.04,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
Banana (cacho),0.04,2.7,0.28,1.51,0.85,1.46,1.3,0.39,0.97,8.77,1.5,1.25,1.99,14.44,7.94,2.34,9.53,0.57,1.75,0.43,1.56,2.69,6.54,6.35,10.38,1.86,10.59
Batata-doce,0.37,0.0,0.17,0.19,0.01,0.13,0.66,0.0,0.0,0.04,0.0,0.38,6.36,1.55,7.77,6.42,4.52,0.04,6.7,4.29,4.35,34.14,1.65,0.52,5.48,1.0,13.25
Batata-inglesa,0.07,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35,0.0,0.0,0.0,0.0,0.0,0.0,20.05,26.37,2.99,0.24,27.52,0.01,13.17
Borracha (látex coagul...,0.0,5.4,5.44,8.18,0.94,0.12,0.01,0.0,0.6,0.48,0.0,0.0,0.0,13.78,0.0,0.0,0.24,0.0,0.0,0.0,0.56,0.0,0.0,5.53,8.87,0.07,49.79
Cacau (em amêndoa),0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,24.95,1.38,0.03,0.0,70.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,0.02,0.0,0.0
Café (em grão) Arábica,0.03,0.47,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.09,0.0,0.07,0.0,0.0,0.0,2.26,0.0,0.0,8.62,68.79,0.74,13.82
Café (em grão) Canephora,0.0,0.0,0.0,2.96,0.0,0.27,0.06,0.0,0.0,0.05,16.62,0.0,0.0,10.38,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.45,2.17,0.0,0.02
Café (em grão) Total,0.02,0.37,0.01,0.63,0.0,0.06,0.01,0.0,0.0,0.01,3.55,0.0,0.0,6.22,0.08,0.0,0.05,0.0,0.0,0.0,1.78,0.0,0.0,21.18,54.57,0.58,10.87
Cana-de-açúcar,0.0,9.28,6.74,2.5,0.36,0.0,0.06,0.0,0.47,0.15,0.01,0.0,2.91,0.73,0.09,1.01,2.8,0.18,0.66,0.37,5.68,0.28,0.04,0.53,9.79,0.62,54.71
Caqui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,8.02,31.74,2.12,0.42,11.64,7.0,38.74
Castanha de caju,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,2.55,0.25,0.0,0.0,0.18,3.61,63.46,0.69,0.51,16.93,11.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cebola,0.54,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.63,0.0,12.66,0.14,0.29,3.79,0.01,0.41,0.0,7.27,23.16,30.99,0.59,7.02,0.0,8.05
Centeio (em grão),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.3,54.7,0.0,0.0,0.0,0.0,0.0
Cevada (em grão),0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.36,48.06,0.32,0.0,0.0,0.0,2.21
Chá-da-índia (folha ve...,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Coco-da-baía*,0.0,0.11,0.03,0.39,0.11,0.11,0.29,0.0,0.7,9.47,0.09,0.04,11.97,19.6,21.71,3.19,3.72,0.32,8.55,11.75,0.12,0.0,0.0,5.08,0.82,1.16,0.68
Dendê (cacho de coco),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3,0.0,0.08,0.0,6.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erva-mate (folha verde),0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.26,35.41,20.15,0.0,0.0,0.0,0.0
Ervilha (em grão),4.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91,20.04,0.0,0.0,66.98,0.0,2.85
Fava (em grão),0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,3.13,0.0,0.0,0.0,2.28,0.0,45.24,23.24,13.13,7.83,4.9,0.17,0.0,0.06,0.0,0.0,0.0,0.0,0.0
Feijão (em grão),0.36,5.19,0.36,9.03,1.97,0.19,0.04,0.16,1.76,1.01,0.5,0.03,0.71,12.21,14.07,2.35,5.02,6.86,1.01,0.13,15.33,4.53,2.22,0.37,11.46,0.04,3.09
