Cultura,Area plantada (ha),CO,N,NE,S,SE
Abacaxi*,0.06,12.91,31.80,30.69,1.69,22.91
Algodão herbáceo (em c...,1.37,74.54,1.89,21.23,0.01,2.33
Alho,0.01,26.13,0.00,3.72,35.50,34.66
Amendoim (em casca),0.21,1.55,0.22,3.93,2.43,91.88
Arroz (em casca),2.64,10.75,7.52,2.87,78.34,0.53
Aveia (em grão),0.85,2.75,0.00,0.00,95.46,1.79
Batata-doce,0.07,0.73,1.21,37.80,40.15,20.11
Batata-inglesa,0.13,3.29,0.00,6.36,49.41,40.94
Cana-de-açúcar,10.00,18.91,0.70,8.76,6.00,65.63
Cebola,0.06,4.97,0.67,17.29,61.42,15.66
Centeio (em grão),0.01,0.00,0.00,0.00,100.00,0.00
Cevada (em grão),0.15,0.07,0.00,0.00,97.72,2.21
Ervilha (em grão),0.00,4.22,0.00,0.00,25.95,69.83
Fava (em grão),0.03,0.02,2.84,97.08,0.05,0.00
Feijão (em grão),2.83,16.37,3.49,44.20,21.62,14.32
Fumo (em folha),0.51,0.01,0.03,4.66,95.21,0.09
Girassol (em grão),0.04,79.88,0.00,0.00,12.06,8.06
Juta (fibra),0.00,0.00,100.00,0.00,0.00,0.00
Linho (semente),0.01,0.00,0.00,0.00,100.00,0.00
Malva (fibra),0.00,0.00,100.00,0.00,0.00,0.00
Mamona (baga),0.05,0.56,0.00,99.37,0.00,0.06
Mandioca,1.26,7.22,36.68,26.08,20.18,9.84
Melancia,0.10,15.03,12.20,36.78,25.78,10.22
Melão,0.03,0.79,0.28,87.18,11.73,0.02
Milho (em grão),20.37,50.35,6.01,11.01,23.35,9.28
Soja (em grão),45.29,41.83,4.97,5.60,40.68,6.92
Sorgo (em grão),0.90,54.55,3.39,9.34,0.76,31.96
Tomate,0.05,20.83,1.36,18.36,18.84,40.61
Trigo (em grão),4.01,1.42,0.00,0.08,92.75,5.76
Triticale (em grão),0.04,0.00,0.00,0.00,90.61,9.39
