Cultura,Area plantada (Milhoes ha),Area colhida (Milhoes ha),Producao (Milhoes ton),Produtividade (kg/ha),Receita (Milhoes Reais)
Abacate,0.0,0.02,0.3,14620.9,710.39
Abacaxi*,0.06,0.06,1.55,18290.9,2618.75
Alfafa fenada,0.0,0.0,0.0,,0.0
Algodão arbóreo (em ca...,0.0,0.0,0.0,,0.0
Algodão herbáceo (em c...,1.37,1.37,5.71,2397.6,26507.35
Alho,0.01,0.01,0.18,5064.8,1982.16
Amendoim (em casca),0.21,0.21,0.8,1950.9,2658.03
Arroz (em casca),2.64,2.64,19.96,3245.7,33244.74
Aveia (em grão),0.85,0.84,1.89,2029.3,1833.45
Azeitona,0.0,0.0,0.0,1491.2,12.52
Açaí,0.0,0.21,1.49,6404.2,5305.53
Banana (cacho),0.0,0.45,6.81,12847.4,9998.16
Batata-doce,0.07,0.07,1.0,13332.9,1445.54
Batata-inglesa,0.13,0.13,4.36,17040.5,6280.19
Borracha (látex coagul...,0.0,0.18,0.4,2116.4,1495.1
Borracha (látex líquido),0.0,0.0,0.0,,0.0
Cacau (em amêndoa),0.0,0.6,0.3,578.2,3973.41
Café (em grão) Arábica,0.0,1.44,1.98,1284.9,26835.85
Café (em grão) Canephora,0.0,0.39,1.01,1890.6,8060.76
Café (em grão) Total,0.0,1.84,2.99,1404.6,34896.61
Caju,0.0,0.0,0.0,,0.0
Cana para forragem,0.0,0.0,0.0,,0.0
Cana-de-açúcar,10.0,9.99,716.25,48732.9,75400.19
Caqui,0.0,0.01,0.17,13807.7,383.07
Castanha de caju,0.0,0.43,0.11,340.5,476.98
Cebola,0.06,0.06,1.77,16821.6,2680.27
Centeio (em grão),0.01,0.01,0.01,1826.9,13.74
Cevada (em grão),0.15,0.15,0.56,3167.0,881.72
Chá-da-índia (folha ve...,0.0,0.0,0.0,7688.3,1.75
Coco-da-baía*,0.0,0.19,1.64,8643.0,1299.24
Dendê (cacho de coco),0.0,0.2,2.89,9539.3,1025.83
Erva-mate (folha verde),0.0,0.07,0.56,8016.6,723.77
Ervilha (em grão),0.0,0.0,0.0,2859.7,15.58
Fava (em grão),0.03,0.03,0.01,424.2,61.75
Feijão (em grão),2.83,2.67,2.99,962.1,12438.97
Figo,0.0,0.0,0.02,7371.6,137.53
Fumo (em folha),0.51,0.51,1.09,1932.0,9918.35
Girassol (em grão),0.04,0.04,0.07,1562.8,149.48
Goiaba,0.0,0.02,0.55,14169.2,973.16
Guaraná (semente),0.0,0.01,0.0,466.5,39.86
Juta (fibra),0.0,0.0,0.0,1300.0,0.07
Laranja,0.0,0.58,16.21,16099.3,12534.78
Limão,0.0,0.06,1.5,14139.0,1495.09
Linho (semente),0.01,0.01,0.01,1061.6,25.73
Malva (fibra),0.0,0.0,0.0,1229.7,7.86
Mamona (baga),0.05,0.05,0.04,629.0,104.71
Mamão,0.0,0.03,1.26,27951.0,1407.65
Mandioca,1.26,1.25,18.94,14413.3,13735.64
Manga,0.0,0.08,1.51,11699.7,1953.66
Maracujá,0.0,0.04,0.68,13088.4,1533.96
Marmelo,0.0,0.0,0.0,5666.7,1.56
Maçã,0.0,0.03,1.3,23778.4,2340.33
Melancia,0.1,0.1,2.39,18836.5,1997.14
Melão,0.03,0.03,0.62,9534.1,652.73
Milho (em grão),20.37,19.8,92.85,3630.7,122301.32
Noz (fruto seco),0.0,0.0,0.01,2008.1,74.13
Palmito,0.0,0.03,0.11,4888.2,316.56
Pera,0.0,0.0,0.02,11152.6,39.84
Pimenta-do-reino,0.0,0.04,0.12,2164.4,1799.7
Pêssego,0.0,0.02,0.2,9868.4,515.69
Rami (fibra),0.0,0.0,0.0,,0.0
Sisal ou agave (fibra),0.0,0.1,0.1,914.7,415.38
Soja (em grão),45.29,45.28,155.36,3272.6,396266.68
Sorgo (em grão),0.9,0.89,2.51,2445.6,2647.6
Tangerina,0.0,0.06,1.09,15127.2,1358.79
Tomate,0.05,0.05,3.77,45259.7,6670.88
Trigo (em grão),4.01,3.98,11.42,2784.6,15872.47
Triticale (em grão),0.04,0.04,0.11,2637.2,125.5
Tungue (fruto seco),0.0,0.0,0.0,3850.6,0.51
Urucum (semente),0.0,0.01,0.01,1026.2,69.57
Uva,0.0,0.08,1.75,12152.6,4266.48
